id,score_date,max_seats,agent_utilization,is_provisioned_any_channel_M_before,max_seats_M_before,agent_utilization_increase,agent_utilization_decrease,seat_utilization,seat_utilization_M_before,seat_utilization_increase,seat_utilization_decrease
JMAN_9203571,17-03-2023,3.0,0.0,3.0,3.0,0,0,1.0,1.0,0,0
JMAN_14450264,24-03-2023,4.0,0.0,1.0,4.0,0,0,0.25,0.25,0,0
JMAN_9669396,03-02-2023,15.0,0.230769231,13.0,15.0,0,1,0.866666667,0.866666667,0,0
JMAN_12472512,24-02-2023,5.0,0.0,4.0,5.0,0,0,0.8,0.8,0,0
JMAN_9003424,17-02-2023,7.0,0.714285714,7.0,7.0,0,0,1.0,1.0,0,0
JMAN_9023808,13-01-2023,11.0,0.363636364,11.0,11.0,0,1,1.0,1.0,0,0
JMAN_9327351,10-02-2023,6.0,0.0,6.0,6.0,0,1,1.0,1.0,0,0
JMAN_18410807,20-01-2023,5.0,0.0,,5.0,0,0,0.0,0.0,0,0
JMAN_2437417,17-03-2023,2.0,0.5,2.0,2.0,0,0,1.0,1.0,0,0
JMAN_9021938,24-03-2023,2.0,0.0,2.0,2.0,0,1,1.0,1.0,0,0
JMAN_2458020,17-03-2023,24.0,0.105263158,21.0,24.0,0,1,0.791666667,0.875,0,1
JMAN_13993883,06-01-2023,12.0,0.166666667,12.0,12.0,0,1,1.0,1.0,0,0
JMAN_9071046,13-01-2023,8.0,0.428571429,7.0,8.0,0,1,0.875,0.875,0,0
JMAN_9026440,17-02-2023,3.0,0.0,3.0,3.0,0,0,1.0,1.0,0,0
JMAN_2463960,31-03-2023,1.0,0.0,1.0,1.0,0,0,1.0,1.0,0,0
JMAN_10364413,17-03-2023,1.0,1.0,1.0,1.0,0,0,1.0,1.0,0,0
JMAN_2449317,13-01-2023,3.0,0.0,3.0,3.0,0,0,1.0,1.0,0,0
JMAN_2473478,31-03-2023,20.0,0.052631579,19.0,20.0,0,1,0.95,0.95,0,0
JMAN_2439200,03-03-2023,1.0,0.0,1.0,1.0,0,1,1.0,1.0,0,0
JMAN_2452274,13-01-2023,2.0,0.0,2.0,2.0,0,1,1.0,1.0,0,0
JMAN_18391348,03-02-2023,2.0,0.0,,2.0,0,0,0.0,0.0,0,0
JMAN_2476016,24-03-2023,8.0,0.25,8.0,8.0,0,1,1.0,1.0,0,0
JMAN_2453701,10-03-2023,5.0,0.0,5.0,5.0,0,1,1.0,1.0,0,0
JMAN_11265556,10-03-2023,11.0,0.0,7.0,11.0,0,1,0.636363636,0.636363636,0,0
JMAN_2468805,17-03-2023,3.0,0.0,3.0,3.0,0,1,1.0,1.0,0,0
JMAN_11200796,17-03-2023,5.0,0.4,5.0,5.0,0,1,1.0,1.0,0,0
JMAN_11118444,27-01-2023,15.0,0.111111111,9.0,15.0,0,0,0.6,0.6,0,0
JMAN_9023120,10-03-2023,1.0,0.0,1.0,1.0,0,1,1.0,1.0,0,0
JMAN_9383192,10-03-2023,1.0,0.0,1.0,1.0,0,1,1.0,1.0,0,0
JMAN_9803968,17-03-2023,9.0,0.0,9.0,9.0,0,1,1.0,1.0,0,0
JMAN_9031290,13-01-2023,5.0,0.0,5.0,5.0,0,0,1.0,1.0,0,0
JMAN_9029087,10-03-2023,5.0,0.0,5.0,5.0,0,0,1.0,1.0,0,0
JMAN_2473827,20-01-2023,1.0,0.0,1.0,1.0,0,1,1.0,1.0,0,0
JMAN_9086153,10-02-2023,10.0,0.1,10.0,10.0,0,1,1.0,1.0,0,0
JMAN_9003408,24-03-2023,1.0,0.0,1.0,1.0,0,0,1.0,1.0,0,0
JMAN_9014366,31-03-2023,1.0,0.0,1.0,1.0,0,1,1.0,1.0,0,0
JMAN_2448264,24-02-2023,10.0,0.0,10.0,10.0,0,1,1.0,1.0,0,0
JMAN_9026918,17-03-2023,1.0,0.0,1.0,1.0,0,0,1.0,1.0,0,0
JMAN_2463786,27-01-2023,1.0,0.0,1.0,1.0,0,0,1.0,1.0,0,0
JMAN_2461549,20-01-2023,7.0,0.142857143,7.0,7.0,0,1,1.0,1.0,0,0
JMAN_2465336,03-02-2023,1.0,0.0,1.0,1.0,0,0,1.0,1.0,0,0
JMAN_12472512,10-02-2023,5.0,0.0,4.0,5.0,0,0,1.0,0.8,1,0
JMAN_2469170,17-03-2023,5.0,0.4,5.0,5.0,0,0,1.0,1.0,0,0
