id,score_date,current_arr,team_plus,pro_plus,ent_plus,csat_score,num_low_sev_outages,num_high_sev_outages,num_tickets_deflected,customer_age_quarters,product_counts,crm_employee_range,region_emea,region_apac,region_amer,region_latam,segment_smb,segment_non_smb,segment_commercial,segment_enterprise,segment_midmarket,future_arr,current_arr.1,max_seats,agent_utilization,seat_utilization,churn,arr_change_percentage,log_current_arr,log_future_arr,customer_age_years,sev_outages_ratio,total_outages,log_max_seats,csat_score_normalized
JMAN_12250851,2023-03-03,242.04,1,0,0,0,0,0,0,4,1,01-Sep,1,0,0,0,0,1,0,0,0,251.52,242.04,1.0,0.0,1.0,1,3.916707982151718,5.493226038847463,5.5314904534994245,16,0.0,0,0.6931471805599453,0.0
JMAN_9601250,2023-01-13,1632.0,1,1,0,0,6,1,0,13,5,01-Sep,0,0,1,0,0,1,0,0,0,1632.0,1632.0,4.0,0.0,0.75,0,0.0,7.398174092970465,7.398174092970465,52,0.14285714285714285,7,1.6094379124341003,0.0
JMAN_9016831,2023-01-27,4500.0,1,1,1,0,6,0,0,16,3,100 - 249,0,1,0,0,1,0,0,0,0,4500.0,4500.0,1.0,0.0,1.0,0,0.0,8.412054873292933,8.412054873292933,64,0.0,6,0.6931471805599453,0.0
JMAN_18411228,2023-01-06,168.0,1,0,0,0,0,0,0,16,1,50 - 99,1,0,0,0,1,0,0,0,0,168.0,168.0,1.0,0.0,0.0,0,0.0,5.1298987149230735,5.1298987149230735,64,0.0,0,0.6931471805599453,0.0
JMAN_10361494,2023-03-24,228.0,1,0,0,0,10,0,0,9,1,01-Sep,1,0,0,0,0,1,0,0,0,0.0,228.0,1.0,0.0,1.0,1,-100.0,5.43372200355424,0.0,36,0.0,10,0.6931471805599453,0.0
JMAN_18409952,2023-01-13,228.0,1,0,0,0,0,0,0,16,1,Oct-49,0,1,0,0,0,1,0,0,0,228.0,228.0,1.0,0.0,0.0,0,0.0,5.43372200355424,5.43372200355424,64,0.0,0,0.6931471805599453,0.0
JMAN_2468132,2023-02-17,600.0,1,0,0,0,11,0,0,17,3,Oct-49,0,0,1,0,0,1,0,0,0,600.0,600.0,2.0,0.0,1.0,1,0.0,6.398594934535208,6.398594934535208,68,0.0,11,1.0986122886681098,0.0
JMAN_9005782,2023-02-10,180.0,0,0,0,0,8,0,0,13,5,01-Sep,1,0,0,0,0,1,0,0,0,180.0,180.0,3.0,0.0,1.0,0,0.0,5.198497031265826,5.198497031265826,52,0.0,8,1.3862943611198906,0.0
JMAN_9023427,2023-03-03,72.6,0,0,0,0,18,1,0,17,5,01-Sep,1,0,0,0,0,1,0,0,0,77.16,72.6,1.0,0.0,1.0,0,6.280991735537193,4.298645025734831,4.358758007734528,68,0.05263157894736842,19,0.6931471805599453,0.0
JMAN_9002816,2023-01-27,60.0,0,0,0,0,8,0,0,17,3,01-Sep,0,0,0,1,0,1,0,0,0,60.0,60.0,1.0,0.0,1.0,0,0.0,4.110873864173311,4.110873864173311,68,0.0,8,0.6931471805599453,0.0
JMAN_18391384,2023-03-10,168.0,1,0,0,0,0,0,0,17,1,01-Sep,1,0,0,0,0,1,0,0,0,168.0,168.0,1.0,0.0,0.0,0,0.0,5.1298987149230735,5.1298987149230735,68,0.0,0,0.6931471805599453,0.0
JMAN_9773302,2023-01-06,115.8,0,0,0,0,5,0,0,11,5,01-Sep,1,0,0,0,0,1,0,0,0,117.12,115.8,1.0,0.0,1.0,0,1.1398963730570013,4.760463070394127,4.771701056875722,44,0.0,5,0.6931471805599453,0.0
JMAN_13717602,2023-03-03,1392.0,1,1,0,0,11,0,0,3,2,Oct-49,0,0,1,0,0,1,0,0,0,1392.0,1392.0,2.0,0.0,1.0,0,0.0,7.239214973779806,7.239214973779806,12,0.0,11,1.0986122886681098,0.0
JMAN_2468379,2023-02-24,4704.0,1,1,0,100,12,0,0,17,3,Oct-49,0,0,1,0,0,1,0,0,0,4704.0,4704.0,4.0,0.0,0.75,0,0.0,8.45638105201948,8.45638105201948,68,0.0,12,1.6094379124341003,1.0
JMAN_2475116,2023-03-03,852.0,1,1,0,0,11,0,0,17,5,Oct-49,1,0,0,0,0,1,0,0,0,828.0,852.0,1.0,0.0,1.0,1,-2.8169014084507045,6.748759547491679,6.720220155135295,68,0.0,11,0.6931471805599453,0.0
JMAN_11710046,2023-01-20,2376.0,1,1,0,100,0,0,5,4,1,Oct-49,0,0,1,0,0,1,0,0,0,2376.0,2376.0,2.0,0.5,1.0,0,0.0,7.773594467360194,7.773594467360194,16,0.0,0,1.0986122886681098,1.0
JMAN_11265556,2023-03-24,6468.0,1,0,0,0,8,0,0,17,1,250 - 499,0,1,0,0,0,1,1,0,0,6468.0,6468.0,11.0,0.0,0.636363636,0,0.0,8.774776816043985,8.774776816043985,68,0.0,8,2.4849066497880004,0.0
JMAN_9034116,2023-02-10,1452.0,1,1,0,0,12,0,0,16,3,Oct-49,0,0,1,0,0,1,0,0,0,1848.0,1452.0,1.0,1.0,1.0,0,27.27272727272727,7.2813856635702825,7.522400231387125,64,0.0,12,0.6931471805599453,0.0
JMAN_9744797,2023-03-03,180.0,0,0,0,0,4,0,0,12,5,01-Sep,0,1,0,0,0,1,0,0,0,180.0,180.0,3.0,0.333333333,1.0,0,0.0,5.198497031265826,5.198497031265826,48,0.0,4,1.3862943611198906,0.0
JMAN_2472023,2023-01-13,672.0,1,1,0,0,2,0,0,17,3,01-Sep,0,1,0,0,0,1,0,0,0,672.0,672.0,2.0,0.0,1.0,0,0.0,6.511745329644728,6.511745329644728,68,0.0,2,1.0986122886681098,0.0
